XCOORD,YCOORD
44.82452522,-93.30893405
45.19568247,-93.66504883
43.74865431,-96.43072579
44.9254081,-92.96606143
44.72539161,-93.21775374
44.96117636,-93.12184771
44.93951939,-93.27786419
44.94833009,-93.28540288
44.95575313,-93.16202902
45.56045726,-94.16563345
44.8129434,-93.08542186
44.73192841,-93.29822794
45.0167747,-93.2722872
43.65032678,-93.36103821
45.54501002,-94.1580945
44.03102649,-92.49177015
45.61513393,-92.9925613
44.98493876,-93.23993033
45.12547157,-93.48565237
45.12550899,-93.48581418
45.04756977,-93.31698075
44.73950348,-93.26838839
44.49020309,-92.34640087
44.29461411,-93.28632323
45.76081085,-94.28444178
45.28172767,-93.54900369
44.94630626,-93.25242082
45.18058067,-93.39221511
44.76694991,-93.23574034
44.20685042,-93.77381097
45.12486481,-93.49217058
45.18594093,-93.23742331
44.96723069,-93.27216232
44.88533878,-93.30231408
45.2923522,-93.55442396
44.94821321,-93.26524908
45.81028102,-95.11225588
45.02098348,-93.2956469
45.28290388,-94.52942626
45.09403089,-93.29001054
45.07173298,-93.36936513
44.5407744,-95.12097987
44.86712301,-93.06619188
45.05434041,-93.36522953
44.94656176,-93.16702718
44.94988516,-93.28134882
45.16861384,-93.04524198
43.90609758,-94.07792476
44.08064746,-93.95414386
44.85554025,-93.42451073
46.7557509,-92.10539638
45.54012224,-94.22935028
45.04290289,-93.21750988
44.51272576,-92.36616367
45.00149658,-93.29192489
44.73205233,-93.17723663
44.22758196,-93.51411005
43.77546033,-92.28435517
45.55689181,-94.94743014
45.16044401,-93.282884
44.92408674,-93.82867718
45.11842677,-95.03872076
45.93460001,-95.81096209
44.91380524,-93.41420281
47.48400616,-92.88287244
48.04896691,-94.68247259
44.97326443,-93.25045079
46.86560074,-92.1530918
45.1498618,-93.23548584
45.14488357,-93.12810412
44.98740839,-93.28806024
44.96480573,-93.10593108
44.18521205,-93.97143166
44.96654863,-93.25439395
44.98712249,-93.23891189
47.50415108,-94.94397125
44.9874677,-93.23783932
45.18514542,-93.32296279
46.75541905,-92.1050876
44.96525046,-93.2875623
45.49413559,-93.23676607
45.02348711,-93.28468338
47.8358771,-93.34425127
44.91855947,-93.2753148
44.86215253,-93.30741047
44.98792611,-93.2373042
43.66131574,-93.1976516
45.0844978,-93.34155599
45.01115113,-93.67641754
45.33176722,-93.68854705
44.60193178,-92.99962649
44.89482892,-93.40033706
44.73619908,-92.86196749
43.63236199,-95.9317374
47.01094935,-93.60456452
45.06556942,-93.5220572
45.06555789,-93.52207526
44.49235342,-92.46673851
44.96919832,-93.0887386
45.06010281,-93.32252724
44.97751298,-93.02166907
44.60102909,-92.87885729
45.63375021,-94.57911381
44.99246074,-93.23743033
44.98452481,-93.24190818
44.86304507,-93.14561627
44.98379865,-93.24289852
43.66071396,-93.32027169
44.96866555,-93.02540372
45.39703176,-94.02943897
45.50815957,-94.63991912
47.58037476,-94.10424468
45.87843916,-95.11014732
45.8635633,-93.29673913
45.8635633,-93.29673913
45.97161695,-92.95688611
